country,listed_in
"","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
India,"Children & Family Movies, Comedies"
Canada,"Comedies, Horror Movies"
Belgium,"International TV Shows, TV Dramas, TV Mysteries"
Thailand,"International TV Shows, Romantic TV Shows, TV Comedies"
"France, Belgium","Action & Adventure, Dramas, International Movies"
United Kingdom,"Dramas, Romantic Movies, Thrillers"
"Singapore, United States","International TV Shows, Reality TV"
"United Kingdom, India","Action & Adventure, International Movies, Music & Musicals"
Canada,"International TV Shows, TV Comedies"
Sweden,"International TV Shows, TV Comedies, TV Dramas"
Denmark,"Dramas, International Movies"
United States,"Crime TV Shows, TV Comedies, TV Dramas"
Australia,"International TV Shows, TV Dramas, Teen TV Shows"
United States,TV Action & Adventure
"Hong Kong, China, United States","Action & Adventure, Comedies, Cult Movies"
Ireland,Horror Movies
"France, United Kingdom",Kids' TV
"Canada, South Korea, United States","Children & Family Movies, Comedies"
"United Kingdom, Canada","Horror Movies, International Movies, Thrillers"
United Kingdom,"Crime TV Shows, TV Dramas, TV Mysteries"
United States,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
United States,"TV Comedies, TV Dramas"
Egypt,"Action & Adventure, Comedies, International Movies"
Chile,Stand-Up Comedy
Japan,"Action & Adventure, International Movies"
"","Children & Family Movies, Comedies, International Movies"
"","Documentaries, Music & Musicals"
"United Kingdom, United States, Dominican Republic","Horror Movies, International Movies, Thrillers"
"","Dramas, International Movies, Romantic Movies"
"France, South Korea, Japan","Kids' TV, TV Action & Adventure"
Japan,"Anime Features, International Movies, Romantic Movies"
"","International TV Shows, TV Dramas, Teen TV Shows"
Spain,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
"United Kingdom, United States, France, Germany","Comedies, Dramas, International Movies"
"Germany, France, Russia","Docuseries, International TV Shows, Science & Nature TV"
United States,"Documentaries, LGBTQ Movies, Music & Musicals"
United Kingdom,"British TV Shows, Docuseries, Science & Nature TV"
"United Kingdom, Czech Republic, United States, Germany, Bahamas",Action & Adventure
United States,"Romantic TV Shows, TV Comedies"
"United States, France, Canada, Spain","Horror Movies, Thrillers"
Australia,"Dramas, Independent Movies, LGBTQ Movies"
"United States, Canada, United Kingdom","Horror Movies, Thrillers"
"United States, France","Kids' TV, TV Comedies"
United States,"Crime TV Shows, International TV Shows, TV Action & Adventure"
India,"Action & Adventure, Classic Movies, Cult Movies"
"Australia, New Zealand","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
Germany,"International TV Shows, TV Action & Adventure, TV Dramas"
Philippines,"Action & Adventure, Comedies, International Movies"
"Russia, United States","Action & Adventure, International Movies"
"United Kingdom, Russia","Documentaries, International Movies"
United Kingdom,"Comedies, International Movies"
"Mexico, United States","Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
South Africa,"Comedies, International Movies, Music & Musicals"
"United States, India",Dramas
"United States, Spain","Dramas, LGBTQ Movies"
"Czech Republic, United Kingdom, France","Action & Adventure, International Movies, Sci-Fi & Fantasy"
Saudi Arabia,"International TV Shows, TV Dramas"
"Austria, United States","Documentaries, Sports Movies"
"France, Lebanon","Dramas, International Movies"
"France, Norway, Lebanon, Belgium","Dramas, International Movies"
"United States, United Kingdom, France","Comedies, Independent Movies"
South Africa,"International Movies, Thrillers"
United Kingdom,"Documentaries, International Movies, LGBTQ Movies"
India,"International TV Shows, TV Dramas, TV Horror"
"","British TV Shows, Crime TV Shows, Docuseries"
Japan,"International TV Shows, TV Horror, TV Mysteries"
"Australia, India","Action & Adventure, Comedies, International Movies"
"Mexico, United States","Comedies, Dramas, Independent Movies"
India,"Dramas, International Movies"
United States,"Action & Adventure, Comedies"
Pakistan,"Dramas, International Movies"
"Canada, United States",Comedies
"South Korea, China","International TV Shows, Romantic TV Shows, TV Comedies"
United States,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
South Africa,"Documentaries, International Movies"
"United States, Australia, South Africa, United Kingdom",Documentaries
"United States, United Kingdom, India",Dramas
Thailand,"International TV Shows, TV Horror, TV Mysteries"
Egypt,"International Movies, Thrillers"
Japan,"Anime Series, International TV Shows"
